Ride_ID,City,Date,Hour,Pickup_Zone,Drop_Zone,Ride_Distance_km,Estimated_Fare,Surge_Multiplier,EV_Battery_%,Driver_Available,Charging_Station_Nearby,Weather,Ride_Status,Cancellation_By
105,Delhi,2025-01-05,2,7,2,3.47,432.49,1.0,96,No,Yes,Heavy Rain,Cancelled,Rider
106,Hyderabad,2025-01-05,22,1,10,8.86,252.39,1.5,23,Yes,Yes,Heavy Rain,Completed,
107,Hyderabad,2025-01-05,15,7,7,18.45,400.71,1.5,38,Yes,Yes,Rain,Completed,
108,Hyderabad,2025-01-05,0,5,8,11.36,133.43,1.5,18,Yes,Yes,Clear,Cancelled,System
109,Bengaluru,2025-01-05,16,4,2,16.04,761.27,1.5,74,Yes,Yes,Clear,Completed,
110,Hyderabad,2025-01-05,15,3,4,18.03,331.26,1.2,68,Yes,Yes,Clear,Completed,
111,Mumbai,2025-01-05,9,1,1,3.87,759.27,1.2,64,Yes,Yes,Clear,Completed,
112,Mumbai,2025-01-05,20,7,1,5.76,287.53,1.0,66,Yes,No,Clear,Completed,
113,Delhi,2025-01-05,11,8,5,10.9,487.54,2.0,81,Yes,Yes,Heavy Rain,Completed,
114,Hyderabad,2025-01-05,7,6,3,6.86,729.45,2.0,46,Yes,No,Clear,Completed,
115,Delhi,2025-01-05,0,5,3,18.05,355.26,1.0,62,Yes,Yes,Clear,Completed,
116,Delhi,2025-01-05,2,5,2,8.83,455.36,2.0,99,Yes,Yes,Clear,Completed,
117,Mumbai,2025-01-05,17,7,3,16.52,438.62,1.2,87,Yes,Yes,Clear,Completed,
118,Hyderabad,2025-01-05,4,9,4,18.28,746.24,1.0,32,Yes,Yes,Clear,Cancelled,Driver
119,Bengaluru,2025-01-05,21,4,9,19.5,383.73,1.0,95,Yes,Yes,Clear,Completed,
120,Bengaluru,2025-01-05,9,7,10,21.04,676.69,2.0,18,Yes,No,Clear,Cancelled,Rider
121,Mumbai,2025-01-06,14,5,10,17.22,665.04,1.0,55,No,Yes,Clear,Cancelled,Rider
122,Mumbai,2025-01-06,9,3,8,10.01,741.7,1.2,83,Yes,No,Clear,Completed,
123,Delhi,2025-01-06,17,5,9,2.69,558.81,1.5,24,Yes,No,Clear,Completed,
124,Mumbai,2025-01-06,14,1,8,9.08,249.68,1.0,31,Yes,Yes,Clear,Completed,
125,Hyderabad,2025-01-06,12,5,4,18.26,204.15,2.0,92,No,Yes,Clear,Cancelled,Rider
126,Hyderabad,2025-01-06,0,9,2,24.42,751.83,2.0,49,Yes,Yes,Clear,Cancelled,Rider
127,Hyderabad,2025-01-06,21,7,4,2.82,752.4,1.5,45,Yes,Yes,Heavy Rain,Completed,
128,Mumbai,2025-01-06,0,5,10,6.42,408.13,1.2,15,Yes,Yes,Clear,Cancelled,System
129,Mumbai,2025-01-06,6,8,10,4.92,242.02,1.0,42,Yes,No,Clear,Completed,
130,Hyderabad,2025-01-06,10,6,7,4.97,650.21,1.2,24,Yes,Yes,Rain,Completed,
131,Mumbai,2025-01-06,6,3,6,6.41,414.64,1.2,57,Yes,Yes,Rain,Completed,
132,Bengaluru,2025-01-06,5,9,6,13.45,297.73,2.0,16,Yes,No,Heavy Rain,Cancelled,Driver
133,Bengaluru,2025-01-06,22,3,1,10.77,787.1,2.0,42,Yes,No,Clear,Completed,
134,Bengaluru,2025-01-06,10,7,10,24.28,493.74,1.5,79,Yes,No,Clear,Completed,
135,Hyderabad,2025-01-06,1,9,7,2.44,226.62,1.2,41,Yes,Yes,Rain,Completed,
136,Hyderabad,2025-01-06,13,1,2,21.36,133.31,2.0,66,Yes,No,Heavy Rain,Completed,
137,Hyderabad,2025-01-06,8,5,5,15.1,739.25,2.0,25,No,Yes,Rain,Cancelled,Rider
138,Delhi,2025-01-06,9,10,8,7.67,429.84,2.0,57,Yes,Yes,Heavy Rain,Completed,
139,Bengaluru,2025-01-06,5,5,4,20.55,133.03,2.0,57,Yes,No,Heavy Rain,Completed,
140,Hyderabad,2025-01-06,23,7,6,23.86,421.94,2.0,65,Yes,Yes,Clear,Completed,
141,Hyderabad,2025-01-06,19,9,5,2.17,721.92,1.0,31,Yes,Yes,Clear,Completed,
142,Delhi,2025-01-06,21,10,1,24.25,467.58,1.2,49,Yes,No,Heavy Rain,Completed,
143,Mumbai,2025-01-06,11,4,5,3.37,194.64,1.0,21,Yes,No,Clear,Completed,
144,Mumbai,2025-01-06,23,5,10,4.93,533.57,1.0,21,Yes,Yes,Rain,Completed,
145,Hyderabad,2025-01-07,16,10,7,10.78,724.66,2.0,38,Yes,Yes,Rain,Completed,
146,Delhi,2025-01-07,5,10,5,4.96,771.63,2.0,85,No,Yes,Heavy Rain,Cancelled,Driver
147,Mumbai,2025-01-07,14,5,1,8.24,211.42,1.0,60,Yes,Yes,Clear,Completed,
148,Bengaluru,2025-01-07,15,5,8,16.16,289.95,1.0,56,Yes,Yes,Clear,Completed,
149,Bengaluru,2025-01-07,0,10,8,21.68,535.5,1.0,24,Yes,Yes,Rain,Completed,
150,Delhi,2025-01-07,12,4,4,7.41,320.52,1.5,79,Yes,Yes,Clear,Completed,
151,Bengaluru,2025-01-07,9,6,3,21.76,682.09,2.0,80,Yes,No,Clear,Cancelled,Rider
152,Delhi,2025-01-07,9,10,9,23.49,731.44,1.5,92,Yes,No,Clear,Completed,
153,Mumbai,2025-01-07,20,8,10,9.39,713.65,2.0,50,Yes,Yes,Clear,Completed,
154,Hyderabad,2025-01-07,6,6,3,18.12,505.53,1.2,74,Yes,Yes,Clear,Completed,
155,Hyderabad,2025-01-07,15,5,3,5.51,239.47,2.0,38,Yes,Yes,Clear,Completed,
156,Delhi,2025-01-07,1,5,10,8.21,488.24,1.2,61,Yes,Yes,Clear,Completed,
157,Bengaluru,2025-01-07,11,6,8,20.68,267.64,1.2,32,Yes,No,Clear,Completed,
158,Hyderabad,2025-01-07,10,4,9,3.24,395.89,1.2,70,Yes,Yes,Rain,Completed,
159,Delhi,2025-01-07,13,5,10,19.66,621.36,1.0,85,Yes,No,Clear,Completed,
160,Mumbai,2025-01-07,21,7,8,24.56,615.07,1.2,40,Yes,Yes,Clear,Completed,
161,Mumbai,2025-01-07,1,5,2,19.21,322.61,2.0,97,No,Yes,Clear,Cancelled,Rider
162,Delhi,2025-01-07,12,2,6,20.52,672.5,1.0,23,Yes,Yes,Clear,Completed,
163,Delhi,2025-01-07,10,10,6,2.93,616.66,2.0,40,Yes,Yes,Rain,Completed,
164,Delhi,2025-01-07,10,2,8,3.97,415.38,1.5,47,Yes,Yes,Clear,Cancelled,System
165,Bengaluru,2025-01-07,18,7,3,13.08,361.81,1.2,71,Yes,Yes,Clear,Completed,
166,Mumbai,2025-01-07,17,10,3,14.97,405.19,1.2,96,Yes,Yes,Rain,Completed,
167,Mumbai,2025-01-07,19,1,6,19.23,573.27,2.0,31,Yes,Yes,Rain,Completed,
168,Bengaluru,2025-01-07,10,6,1,8.21,780.66,1.5,60,Yes,Yes,Heavy Rain,Completed,
169,Bengaluru,2025-01-08,12,1,5,2.63,120.61,1.2,55,Yes,Yes,Rain,Cancelled,Driver
170,Bengaluru,2025-01-08,7,4,3,11.56,756.32,1.0,49,Yes,No,Clear,Completed,
171,Mumbai,2025-01-08,9,8,8,21.96,711.24,1.5,59,Yes,Yes,Heavy Rain,Completed,
172,Bengaluru,2025-01-08,9,10,10,12.3,505.05,1.5,67,Yes,Yes,Clear,Completed,
173,Mumbai,2025-01-08,3,5,10,4.11,144.51,1.5,67,Yes,Yes,Clear,Completed,
174,Bengaluru,2025-01-08,11,10,5,16.56,187.47,1.5,45,Yes,No,Heavy Rain,Completed,
175,Hyderabad,2025-01-08,9,1,10,16.09,651.23,1.0,92,Yes,Yes,Clear,Completed,
176,Bengaluru,2025-01-08,20,1,10,13.14,470.07,1.0,20,Yes,No,Rain,Completed,
177,Bengaluru,2025-01-08,5,4,3,23.5,405.78,2.0,36,Yes,Yes,Rain,Cancelled,System
178,Mumbai,2025-01-08,14,2,3,23.41,575.27,2.0,52,Yes,No,Clear,Completed,
179,Delhi,2025-01-08,2,9,5,2.57,305.85,1.2,59,Yes,No,Clear,Completed,
180,Delhi,2025-01-08,19,1,7,21.41,340.8,1.0,59,Yes,Yes,Clear,Completed,
181,Bengaluru,2025-01-08,10,2,1,16.4,583.91,1.5,97,Yes,No,Rain,Completed,
182,Bengaluru,2025-01-08,2,10,10,18.34,670.57,1.2,60,Yes,Yes,Clear,Completed,
183,Delhi,2025-01-08,14,1,9,7.86,771.48,2.0,58,Yes,Yes,Clear,Completed,
184,Delhi,2025-01-08,16,2,2,20.91,768.26,1.0,81,No,No,Heavy Rain,Cancelled,Rider
185,Hyderabad,2025-01-08,7,9,7,24.64,617.94,1.0,42,Yes,No,Rain,Completed,
186,Delhi,2025-01-08,3,7,5,16.48,738.38,1.0,17,Yes,Yes,Clear,Cancelled,Rider
187,Bengaluru,2025-01-08,20,5,1,4.32,195.04,1.5,67,Yes,Yes,Clear,Completed,
188,Mumbai,2025-01-08,3,3,3,17.12,743.86,2.0,77,Yes,No,Clear,Cancelled,Driver
189,Delhi,2025-01-08,22,1,9,22.74,124.0,1.0,62,Yes,Yes,Clear,Completed,
190,Mumbai,2025-01-08,23,8,10,21.17,642.21,1.0,59,Yes,Yes,Clear,Completed,
191,Mumbai,2025-01-08,0,7,4,14.13,469.96,2.0,78,Yes,Yes,Rain,Completed,
192,Bengaluru,2025-01-08,16,1,8,6.43,526.71,1.0,36,No,Yes,Rain,Cancelled,Driver
193,Hyderabad,2025-01-09,22,8,3,5.33,580.9,1.2,97,Yes,No,Heavy Rain,Cancelled,System
194,Delhi,2025-01-09,15,3,8,15.5,631.42,2.0,35,No,Yes,Heavy Rain,Cancelled,Rider
195,Delhi,2025-01-09,18,9,3,4.36,208.84,2.0,36,Yes,Yes,Heavy Rain,Completed,
196,Hyderabad,2025-01-09,18,2,9,12.28,590.43,1.5,34,Yes,No,Clear,Completed,
197,Delhi,2025-01-09,17,7,10,23.41,373.36,2.0,83,Yes,Yes,Rain,Completed,
198,Mumbai,2025-01-09,15,9,9,14.6,662.61,1.2,50,Yes,Yes,Clear,Completed,
199,Hyderabad,2025-01-09,3,9,3,8.93,508.16,1.5,21,Yes,Yes,Clear,Cancelled,Rider
200,Mumbai,2025-01-09,19,3,6,6.5,445.87,2.0,59,Yes,Yes,Heavy Rain,Completed,
201,Delhi,2025-01-09,17,9,5,18.88,399.56,2.0,69,Yes,Yes,Clear,Completed,
202,Hyderabad,2025-01-09,17,9,6,3.78,144.06,1.5,41,Yes,No,Heavy Rain,Cancelled,System
203,Bengaluru,2025-01-09,9,4,9,5.05,783.33,1.0,29,Yes,Yes,Clear,Completed,
204,Mumbai,2025-01-09,2,8,8,15.79,274.58,2.0,95,Yes,No,Heavy Rain,Completed,
205,Delhi,2025-01-09,9,6,4,2.36,224.01,2.0,49,Yes,Yes,Clear,Completed,
206,Delhi,2025-01-09,2,3,10,4.96,527.33,1.2,30,Yes,Yes,Rain,Completed,
207,Delhi,2025-01-09,17,9,8,22.89,255.29,1.5,40,Yes,No,Clear,Completed,
208,Bengaluru,2025-01-09,6,4,4,16.93,739.52,1.5,16,Yes,Yes,Clear,Cancelled,Rider
209,Hyderabad,2025-01-09,18,3,3,4.25,718.46,1.2,56,No,Yes,Rain,Cancelled,System
210,Mumbai,2025-01-09,21,7,7,20.56,567.91,1.2,93,Yes,Yes,Clear,Cancelled,System
211,Mumbai,2025-01-09,8,1,5,22.85,406.16,1.0,77,Yes,No,Clear,Completed,
212,Hyderabad,2025-01-09,2,9,4,5.1,222.54,1.2,20,Yes,Yes,Clear,Cancelled,Driver
213,Hyderabad,2025-01-09,1,3,6,14.22,267.41,2.0,32,Yes,Yes,Heavy Rain,Completed,
214,Hyderabad,2025-01-09,16,1,8,12.99,195.57,2.0,72,Yes,No,Rain,Completed,
215,Delhi,2025-01-09,12,9,6,11.96,211.25,1.5,71,Yes,Yes,Clear,Completed,
216,Mumbai,2025-01-09,1,8,9,16.79,621.71,2.0,84,Yes,Yes,Clear,Completed,
217,Mumbai,2025-01-10,11,10,1,17.37,238.61,1.0,21,Yes,No,Clear,Completed,
218,Delhi,2025-01-10,22,9,1,5.23,211.83,1.0,62,Yes,No,Rain,Completed,
219,Mumbai,2025-01-10,15,2,9,11.09,534.35,1.2,28,Yes,No,Heavy Rain,Cancelled,System
220,Hyderabad,2025-01-10,1,6,6,16.22,455.9,1.0,77,Yes,Yes,Rain,Completed,
221,Delhi,2025-01-10,10,9,3,19.1,428.26,2.0,28,Yes,Yes,Clear,Completed,
222,Bengaluru,2025-01-10,16,5,10,16.43,448.57,2.0,30,Yes,Yes,Clear,Completed,
223,Delhi,2025-01-10,21,4,7,15.47,179.83,2.0,36,Yes,No,Clear,Completed,
224,Bengaluru,2025-01-10,6,9,5,15.71,534.85,1.2,43,Yes,Yes,Clear,Completed,
225,Hyderabad,2025-01-10,2,2,1,24.22,199.56,1.2,90,Yes,Yes,Clear,Completed,
226,Hyderabad,2025-01-10,2,6,2,15.43,502.95,1.5,72,Yes,Yes,Clear,Completed,
227,Hyderabad,2025-01-10,6,8,8,3.69,227.45,2.0,58,No,Yes,Clear,Cancelled,Driver
228,Bengaluru,2025-01-10,23,8,2,18.64,719.27,1.2,79,Yes,Yes,Clear,Completed,
229,Hyderabad,2025-01-10,15,1,5,8.79,382.98,1.2,30,Yes,Yes,Clear,Completed,
230,Mumbai,2025-01-10,13,2,1,22.48,675.83,2.0,18,Yes,Yes,Clear,Cancelled,Rider
231,Mumbai,2025-01-10,23,6,3,3.54,134.85,1.2,34,Yes,Yes,Rain,Completed,
232,Delhi,2025-01-10,5,7,3,19.74,755.76,2.0,35,Yes,Yes,Rain,Completed,
233,Hyderabad,2025-01-10,7,7,4,12.65,370.58,2.0,37,No,Yes,Clear,Cancelled,Driver
234,Delhi,2025-01-10,2,1,4,22.02,798.16,1.0,41,Yes,No,Rain,Completed,
235,Mumbai,2025-01-10,8,6,5,7.05,704.96,1.0,72,Yes,Yes,Rain,Completed,
236,Delhi,2025-01-10,8,5,1,19.72,269.71,1.2,53,No,Yes,Heavy Rain,Cancelled,Rider
237,Hyderabad,2025-01-10,18,5,2,8.02,195.55,1.0,85,Yes,Yes,Clear,Completed,
238,Hyderabad,2025-01-10,3,4,6,19.06,291.49,1.2,91,Yes,Yes,Clear,Cancelled,Driver
239,Delhi,2025-01-10,11,10,6,10.01,368.32,1.0,97,Yes,No,Rain,Cancelled,Rider
240,Delhi,2025-01-10,20,3,2,8.88,335.04,1.5,17,No,Yes,Clear,Cancelled,Driver
241,Mumbai,2025-01-11,11,1,7,14.9,773.86,1.2,95,Yes,Yes,Rain,Completed,
242,Mumbai,2025-01-11,17,1,4,14.76,508.59,1.0,98,Yes,Yes,Clear,Cancelled,Rider
243,Hyderabad,2025-01-11,23,9,9,6.37,633.61,1.0,40,Yes,No,Clear,Completed,
244,Bengaluru,2025-01-11,10,10,10,17.95,503.29,2.0,72,Yes,No,Clear,Completed,
245,Delhi,2025-01-11,20,4,9,13.38,501.34,1.0,82,Yes,Yes,Heavy Rain,Completed,
246,Delhi,2025-01-11,21,10,7,11.36,210.49,1.5,58,Yes,No,Clear,Completed,
247,Bengaluru,2025-01-11,8,3,1,4.26,518.35,1.2,84,No,Yes,Clear,Cancelled,Rider
248,Mumbai,2025-01-11,23,9,9,24.91,713.43,1.2,60,Yes,Yes,Rain,Completed,
249,Bengaluru,2025-01-11,13,7,6,20.08,397.77,1.2,60,Yes,Yes,Clear,Completed,
250,Hyderabad,2025-01-11,9,9,4,5.36,713.0,2.0,37,Yes,Yes,Rain,Cancelled,Driver
251,Mumbai,2025-01-11,0,1,5,23.0,443.4,1.5,58,Yes,Yes,Rain,Completed,
252,Hyderabad,2025-01-11,11,5,9,24.85,534.54,1.2,34,Yes,Yes,Rain,Completed,
253,Bengaluru,2025-01-11,10,5,9,13.65,141.06,1.5,87,No,No,Heavy Rain,Cancelled,Driver
254,Bengaluru,2025-01-11,6,8,10,13.23,603.68,2.0,34,Yes,Yes,Heavy Rain,Completed,
255,Delhi,2025-01-11,0,10,7,19.14,661.84,1.0,52,Yes,No,Clear,Completed,
256,Delhi,2025-01-11,8,6,9,15.97,655.91,2.0,61,Yes,Yes,Clear,Completed,
257,Delhi,2025-01-11,10,8,2,11.02,720.46,1.5,72,Yes,No,Clear,Completed,
258,Delhi,2025-01-11,9,9,9,7.23,415.64,1.5,23,Yes,No,Clear,Completed,
259,Hyderabad,2025-01-11,10,7,8,15.33,769.48,1.0,77,Yes,No,Clear,Completed,
